Plant_ID,Scientific_Name,Common_Names,Genus,Family,Plant_Type,Native_Region
1,Pinus,N/A,Pinus,Pinaceae,Tree,N/A
2,Pinus latahensis,"Early Eocene, Klondike Mountain Formation, Allenby Formation",Pinus,Pinaceae,Tree,Okanagan Highlands Floras
3,Pinus macrophylla,"Early Eocene, Klondike Mountain Formation, Allenby Formation",Pinus,Pinaceae,Tree,Okanagan Highlands Floras
4,Pinus peregrinus,"Middle Eocene, Golden Valley Formation, North Dakota, US",Pinus,Pinaceae,Tree,"Middle Eocene, Golden Valley Formation, North Dakota, US"
5,Pinus tetrafolia,"Early Eocene, Klondike Mountain Formation",Pinus,Pinaceae,Tree,Okanagan Highlands Floras
6,Pinus uncinata,N/A,Pinus,Pinaceae,Tree,N/A
7,Pinus mugo,N/A,Pinus,Pinaceae,Tree,N/A
8,Pinus merkusii,26. doi:10.12905/0380.phython54(1)2014-0001.,Pinus,Pinaceae,Tree,26. doi:10.12905/0380.phython54(1)2014-0001.
9,Pinus hondurensis,N/A,Pinus,Pinaceae,Tree,N/A
10,Pinus luzmariae,N/A,Pinus,Pinaceae,Tree,N/A
11,Pinus contorta,N/A,Pinus,Pinaceae,Tree,N/A
12,Pinus apulcensis,N/A,Pinus,Pinaceae,Tree,N/A
13,Pinus estevezii,N/A,Pinus,Pinaceae,Tree,N/A
14,Pinus martinezii,N/A,Pinus,Pinaceae,Tree,N/A
15,Pinus brachyptera,N/A,Pinus,Pinaceae,Tree,N/A
16,Pinus scopulorum,N/A,Pinus,Pinaceae,Tree,N/A
17,Pinus driftwoodensis,156. doi:10.1086/337355. JSTOR 2474678. S2CID 84907438.,Pinus,Pinaceae,Tree,156. doi:10.1086/337355. JSTOR 2474678. S2CID 84907438.
18,Rosa,"white and yellow species from China
Bracteatae",Rosa,Rosaceae,Shrub,"white, pink, and crimson species from all areas"
19,Rosa abietina,N/A,Rosa,Rosaceae,Shrub,N/A
20,Rosa abrica,N/A,Rosa,Rosaceae,Shrub,N/A
21,Rosa abutalybovii,N/A,Rosa,Rosaceae,Shrub,N/A
22,Rosa abyssinica,"Abyssinian rose, Ethiopian rose, wild Ethiopian rose, African rose",Rosa,Rosaceae,Shrub,"Abyssinian rose, Ethiopian rose, wild Ethiopian rose, African rose"
23,Rosa achburensis,N/A,Rosa,Rosaceae,Shrub,N/A
24,Rosa acicularis,"wild rose, prickly rose, prickly wild rose, bristly rose, Arctic rose (Rosa)",Rosa,Rosaceae,Shrub,"wild rose, prickly rose, prickly wild rose, bristly rose, Arctic rose (Rosa)"
25,Rosa adenophylla,N/A,Rosa,Rosaceae,Shrub,N/A
26,Rosa agrestis,"small-leaved sweet briar, field briar, fieldbriar (Caninae)",Rosa,Rosaceae,Shrub,"small-leaved sweet briar, field briar, fieldbriar (Caninae)"
27,Rosa alabukensis,N/A,Rosa,Rosaceae,Shrub,N/A
28,Rosa alberti,N/A,Rosa,Rosaceae,Shrub,N/A
29,Rosa alexeenkoi,N/A,Rosa,Rosaceae,Shrub,N/A
30,Rosa altidaghestanica,N/A,Rosa,Rosaceae,Shrub,N/A
31,Rosa amblyophylla,N/A,Rosa,Rosaceae,Shrub,N/A
32,Rosa arabica,N/A,Rosa,Rosaceae,Shrub,N/A
